Input | IR Sensor Values               | Predicted            | Actual              
105   | [0,0,0,0,0,0,0]                | [a1]                 | [b1]                
106   | [3,0,3,2,2,0,2]                | [b1,b2]              | [a1]                
107   | [  0,  0,  0,  0,226,  5,  0]  | [f3]                 | [f3]                
108   | [  0,  0,  0,  2,226,  7,  0]  | [f3]                 | [f3]                
109   | [0,1,0,1,1,1,0]                | [r1,r2,s1,s2]        | [s1]                
110   | [  0,  0,  0,  1,227,  6,  0]  | [f3]                 | [f3]                
111   | [0,0,0,0,2,0,0]                | [s1]                 | [s1]                
112   | [0,0,0,1,1,0,0]                | [b1,b2]              | [a2]                
113   | [0,0,0,0,1,0,0]                | [a1]                 | [r1]                
114   | [0,0,0,0,1,0,0]                | [a1]                 | [a1]                
115   | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
116   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
117   | [0,0,1,0,2,0,0]                | [s1]                 | [s2]                
118   | [0,0,0,0,0,0,0]                | [a1]                 | [a2]                
119   | [  0,  1,  0,  2,223,  5,  0]  | [f3]                 | [f3]                
120   | [0,1,0,0,0,0,0]                | [b2]                 | [r1]                
121   | [0,0,0,0,0,0,0]                | [a1]                 | [b1,b2]             
122   | [0,0,0,0,1,0,0]                | [a1]                 | [r1]                
123   | [  0,  0, 80,107, 59, 18,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
124   | [0,0,0,0,0,0,0]                | [a1]                 | [s1]                
125   | [0,0,0,0,0,0,0]                | [a1]                 | [s1,s2]             
126   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
127   | [0,0,0,2,0,0,0]                | [b1]                 | [b1,b2]             
128   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
129   | [0,0,0,0,1,0,0]                | [a1]                 | [r2]                
130   | [0,0,0,0,1,0,0]                | [a1]                 | [b1,b2]             
131   | [2,0,3,2,5,0,3]                | [r1,r2,s1,s2]        | [a2]                
132   | [ 0, 0, 3, 5,14, 8, 0]         | [f2]                 | [f2]                
133   | [  0,  4,216,750,  0,  1,  0]  | [e3]                 | [e3]                
134   | [0,1,0,1,0,0,0]                | [b2]                 | [a1,a2]             
135   | [ 0, 0, 0, 5,10, 9, 0]         | [f2]                 | [f2]                
136   | [0,0,0,0,1,0,0]                | [a1]                 | [r2]                
137   | [0,0,0,0,2,0,0]                | [s1]                 | [r1,r2]             
138   | [  0,  0,  0,  0,223,  5,  0]  | [f3]                 | [f3]                
139   | [ 1, 0, 3, 3,32, 2, 0]         | [f2,f3]              | [f2,f3]             
140   | [  0,  2,214,748,  0,  0,  0]  | [e3]                 | [e3]                
141   | [0,0,0,0,1,0,0]                | [a1]                 | [r1]                
142   | [  0,  0, 83,108, 62, 16,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
143   | [ 0, 0,16, 7, 1, 0, 0]         | [e2]                 | [e2]                
144   | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2]             
145   | [  0,  0,219,749,  3,  0,  0]  | [e3]                 | [e3]                
146   | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2]             
147   | [0,0,0,2,0,0,0]                | [b1]                 | [r1,r2,s1,s2]       
148   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [a2]                
149   | [0,0,0,0,0,0,0]                | [a1]                 | [b2]                
150   | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2,s1,s2]       
151   | [0,0,0,0,1,0,0]                | [a1]                 | [s1]                
152   | [0,0,0,2,0,0,0]                | [b1]                 | [r1,r2]             
153   | [0,0,0,0,2,0,0]                | [s1]                 | [r1,r2]             
154   | [  0,  1,213,749,  0,  0,  0]  | [e3]                 | [e3]                
155   | [1,0,0,0,1,0,0]                | [a1]                 | [a1]                
